username,from,campaigndate,sent_count,delivered_count,submitted_count,failed_count,total base,wabacount,nonwabacount
VyaparAppWapp,918447702899,2024-11-01,10472,255805,8,15250,281535,269916,11619
MahindraTractorsWapp,917738038456,2024-11-01,4,1574,0,310,1888,1851,37
VyaparAppWapp,918447702899,2024-11-02,12655,301806,0,16544,331005,317788,13217
CarzonrentWapp,918882222222,2024-11-01,2,435,0,316,753,440,313
InnuvissWapp,919988949873,2024-11-03,0,1,0,0,1,1,0
V2RetailWapp,918130907705,2024-11-03,1,97,0,1,99,98,1
VyaparAppWapp,918447702899,2024-11-03,10612,243204,0,13778,267594,256635,10959
Soundscap_WSOFT,919606018595,2024-11-03,1,64,0,24,89,83,6
FatakPayWapp1,919820476476,2024-11-04,2,84,0,929,1015,1012,3
SoundscapeWapp,917795967414,2024-11-05,0,114,0,42,156,143,13
WorldofTitanWapp,918147747357,2024-11-05,55,2511,0,828,3394,3117,277
AnushInfobaseWapp,918050555432,2024-11-06,8,74,0,42,124,124,0
ICSMobileEmbedWABA1,918296016807,2024-11-07,0,14,0,2,16,15,1
SoundscapeWapp,917795967414,2024-11-08,2,95,0,44,141,132,9
MediScanWapp,919148229992,2024-11-08,3,247,0,103,353,329,24
supportdemo,918147745516,2024-11-08,0,2,0,0,2,2,0
AryansgroupWapp,919646699888,2024-11-08,0,2,0,0,2,2,0
TheTerraceSkyWapp,919311226749,2024-11-08,0,8,0,9,17,17,0
RafterWapp,919606790640,2024-11-09,261,1727,0,3232,5220,4850,370
RagavsresearchWapp,919538821110,2024-11-09,4,569,0,34,607,582,25
Imagine_WSOFT,917795967412,2024-11-12,0,0,0,387,387,387,0
CarzonrentWapp,918882222222,2024-11-12,31,3079,1,922,4033,3697,336
Helios-Wapp,918147747801,2024-11-14,51,1985,0,1268,3304,2999,305
JackandJonesJuniorWapp,918655628705,2024-11-14,0,16,0,32,48,48,0
FatakPayWapp1,918828855360,2024-11-14,11972,66163,0,14757,92892,79007,13885
AnushInfobaseWapp,918050555432,2024-11-15,0,6,0,7,13,13,0
SNNRajCorp5813Wapp,918657876584,2024-11-15,0,0,0,9,9,9,0
TitanEncircle,918147745515,2024-11-15,0,14,0,66,80,80,0
SMSCLOUDWapp,919958881928,2024-11-15,0,5,0,6,11,11,0
EncircleWapp_Tech,918147745515,2024-11-15,0,8,0,1,9,8,1
AltiusHospWapp,919611576955,2024-11-01,1102,9939,0,3467,14508,13874,634
MediScanWapp,919148229992,2024-11-01,2,184,0,25,211,193,18
WorldofTitanWapp,918147747357,2024-11-06,13,923,0,424,1360,1229,131
Imagine_WSOFT,917795967412,2024-11-08,0,0,0,479,479,479,0
ProcucevWapp,919606848835,2024-11-08,54,751,0,194,999,896,103
JackandJonesJuniorWapp,918655628703,2024-11-08,0,16,0,64,80,80,0
WorldofTitanWapp,918147747357,2024-11-08,24,1117,1,436,1578,1426,152
Imagine_WSOFT,917795967412,2024-11-09,0,0,0,707,707,707,0
AnushInfobaseWapp,918050555432,2024-11-09,0,19,0,9,28,28,0
MediScanWapp,919148229992,2024-11-09,5,313,0,142,460,416,44
TitanEyeplusWapp,918147747358,2024-11-10,0,0,0,6,6,6,0
MediScanWapp,919148229992,2024-11-10,0,195,0,94,289,273,16
FatakPayWapp1,919820476476,2024-11-11,3,113,0,925,1041,1040,1
MahindraTractorsWapp,917738038456,2024-11-11,2347,32679,1,22204,57231,37349,19882
VyaparAppWapp,918447702899,2024-11-11,19213,474205,21,25862,519301,501954,17347
RagavsresearchWapp,919538821110,2024-11-12,0,414,0,37,451,423,28
TitanEyeplusWapp,918147747358,2024-11-12,0,6,0,5,11,11,0
Imagine_LM,916366310359,2024-11-13,10,1149,0,34,1193,1186,7
Helios-Wapp,918147747801,2024-11-13,44,1685,0,954,2683,2410,273
FatakPayWapp1,919820476476,2024-11-14,344,11359,0,42253,53956,52952,1004
FastrakEyewerWa_MOE,918951985791,2024-11-14,255,10222,0,4425,14902,14256,646
VEROMODAWapp,918655853429,2024-11-14,0,12,0,40,52,52,0
CarzonrentWapp,918882222222,2024-11-14,9,2211,0,665,2885,2600,285
ManipalBusinessSolutions6192Wapp,918448441789,2024-11-15,0,1,0,0,1,1,0
FastrackEyewearWapp,918951985791,2024-11-15,1213,15962,0,77277,94452,64956,29496
JACKnJONESWapp,918655853425,2024-11-15,17876,155352,0,76738,249966,242993,6973
demoac,918147745516,2024-11-15,0,1,0,1,2,2,0
Imagine_WSOFT,917795967412,2024-11-16,0,0,0,646,646,646,0
FatakPayWapp1,919820476476,2024-11-16,1032,32976,8,30849,64865,62369,2496
FatakPayWapp1,918828855383,2024-11-16,679,6205,0,1481,8365,7957,408
MPokketWapp,919147160976,2024-11-01,534,22986,9,4445,27974,27009,965
RagavsresearchWapp,919538821110,2024-11-02,2,347,0,21,370,349,21
FastrackEyewearWapp,918951985791,2024-11-04,0,2,0,132,134,134,0
TervivaWapp,918861147510,2024-11-05,0,1,0,0,1,1,0
ARCLORGANICSLIMITED3604Wapp,919330329226,2024-11-05,9,120,0,36,165,147,18
FatakPayWapp1,918828855383,2024-11-06,468,3829,0,593,4890,4690,200
Helios-Wapp,918147747801,2024-11-06,38,1827,1,1023,2889,2631,258
DeltaDiagnosticWapp,919900009407,2024-11-06,0,169,0,10,179,169,10
DeltaDiagnosticWapp,919900009407,2024-11-08,0,140,0,13,153,141,12
FastrackEyewearWapp,918951985791,2024-11-08,0,15,0,41,56,56,0
HINDITWapp,919999441761,2024-11-08,0,5,0,2,7,7,0
V2RetailWapp,918130907705,2024-11-08,0,239,0,5,244,240,4
WRANGLERWapp,918197909346,2024-11-09,103,5089,0,2637,7829,7306,523
FatakPayWapp1,919820476476,2024-11-09,44,1265,0,1261,2570,2491,79
FastrakEyewerWa_MOE,918951985791,2024-11-09,218,9250,284,3976,13728,13123,605
FatakPayWapp1,918828855383,2024-11-10,23,211,0,118,352,340,12
AryansgroupWapp,919646699888,2024-11-10,0,10,0,0,10,10,0
Soundscap_WSOFT,919606018595,2024-11-10,0,10,0,9,19,18,1
Imagine_WSOFT,917795967412,2024-11-10,0,0,0,665,665,665,0
FatakPayWapp1,919820476476,2024-11-10,2,90,0,743,835,830,5
Soundscap_WSOFT,919606018595,2024-11-11,0,18,0,4,22,22,0
Imagine_LM,916366310359,2024-11-12,3,1340,1,96,1440,1439,1
VyaparAppWapp,918447702899,2024-11-12,17543,432899,10,28776,479228,463882,15346
Helios-Wapp,918147747801,2024-11-12,58,1767,0,1331,3156,2891,265
Whatsapp_Test1,918147745516,2024-11-13,0,3,0,0,3,3,0
FastrackWapp,918147747802,2024-11-13,0,1,0,0,1,1,0
